timestamp_s,y_position_mm,extrusion_steps_s
367911.286170,0.010,0.0
367911.287214,0.010,0.0
367911.288162,0.010,0.0
367911.289212,0.010,0.0
367911.290212,0.010,0.0
367911.291213,0.010,0.0
367911.292161,0.010,0.0
367911.293213,0.010,0.0
367911.294165,0.010,0.0
367911.295213,0.010,0.0
367911.296171,0.010,0.0
367911.297211,0.010,0.0
367911.298212,0.010,0.0
367911.299213,0.010,0.0
367911.300161,0.010,0.0
367911.301213,0.010,0.0
367911.302158,0.010,0.0
367911.303164,0.010,0.0
367911.304163,0.010,0.0
367911.305214,0.010,0.0
367911.306213,0.010,0.0
367911.307165,0.010,0.0
367911.308161,0.010,0.0
367911.309211,0.010,0.0
367911.310164,0.010,0.0
367911.311210,0.010,0.0
367911.312162,0.010,0.0
367911.313212,0.010,0.0
367911.314212,0.010,0.0
367911.315165,0.010,0.0
367911.316161,0.010,0.0
367911.317211,0.010,0.0
367911.318213,0.010,0.0
367911.319212,0.010,0.0
367911.320162,0.010,0.0
367911.321213,0.010,0.0
367911.322213,0.010,0.0
367911.323213,0.010,0.0
367911.324161,0.010,0.0
367911.325213,0.010,0.0
367911.326165,0.010,0.0
367911.327165,0.010,0.0
367911.328173,0.010,0.0
367911.329165,0.010,0.0
367911.330212,0.010,0.0
367911.331212,0.010,0.0
367911.332161,0.010,0.0
367911.333213,0.010,0.0
367911.334165,0.010,0.0
367911.335212,0.010,0.0
367911.336162,0.010,0.0
367911.337165,0.010,0.0
367911.338213,0.010,0.0
367911.339213,0.010,0.0
367911.340161,0.010,0.0
367911.341213,0.010,0.0
367911.342213,0.010,0.0
367911.343213,0.010,0.0
367911.344172,0.010,0.0
367911.345165,0.010,0.0
367911.346212,0.010,0.0
367911.347212,0.010,0.0
367911.348161,0.010,0.0
367911.349165,0.010,0.0
367911.350213,0.010,0.0
367911.351213,0.010,0.0
367911.352162,0.010,0.0
367911.353213,0.010,0.0
367911.354165,0.010,0.0
367911.355165,0.010,0.0
367911.356161,0.010,0.0
367911.357213,0.010,0.0
367911.358197,0.010,0.0
367911.359224,0.010,0.0
367911.360171,0.010,0.0
367911.361222,0.010,0.0
367911.362214,0.010,0.0
367911.363214,0.010,0.0
367911.364158,0.010,0.0
367911.365171,0.010,0.0
367911.366173,0.010,0.0
367911.367151,0.010,0.0
367911.368164,0.010,0.0
367911.369164,0.010,0.0
367911.370162,0.010,0.0
367911.371176,0.010,0.0
367911.372171,0.010,0.0
367911.373213,0.010,0.0
367911.374213,0.010,0.0
367911.375213,0.010,0.0
367911.376181,0.010,0.0
367911.377200,0.010,0.0
367911.378161,0.010,0.0
367911.379240,0.010,0.0
367911.380207,0.010,0.0
367911.381217,0.010,0.0
367911.382206,0.010,0.0
367911.383169,0.010,0.0
367911.384213,0.010,0.0
367911.385217,0.010,0.0
367911.386207,0.010,0.0
367911.387218,0.010,0.0
367911.388207,0.010,0.0
367911.389184,0.010,0.0
367911.390213,0.010,0.0
367911.391245,0.010,0.0
367911.392196,0.010,0.0
367911.393223,0.010,0.0
367911.394213,0.010,0.0
367911.395223,0.010,0.0
367911.396213,0.010,0.0
367911.397224,0.010,0.0
367911.398214,0.010,0.0
367911.399184,0.010,0.0
367911.400197,0.010,0.0
367911.401223,0.010,0.0
367911.402213,0.010,0.0
367911.403224,0.010,0.0
367911.404165,0.010,0.0
367911.405183,0.010,0.0
367911.406213,0.010,0.0
367911.407184,0.010,0.0
367911.408200,0.010,0.0
367911.409246,0.010,0.0
367911.410212,0.010,0.0
367911.411223,0.010,0.0
367911.412165,0.010,0.0
367911.413221,0.010,0.0
367911.414213,0.010,0.0
367911.415223,0.010,0.0
367911.416196,0.010,0.0
367911.417223,0.010,0.0
367911.418214,0.010,0.0
367911.419184,0.010,0.0
367911.420212,0.010,0.0
367911.421184,0.010,0.0
367911.422212,0.010,0.0
367911.423246,0.010,0.0
367911.424195,0.010,0.0
367911.425182,0.010,0.0
367911.426213,0.010,0.0
367911.427184,0.010,0.0
367911.428164,0.010,0.0
367911.429221,0.010,0.0
367911.430172,0.010,0.0
367911.431209,0.010,0.0
367911.432189,0.010,0.0
367911.433160,0.010,0.0
367911.434218,0.010,0.0
367911.435219,0.010,0.0
367911.436218,0.010,0.0
367911.437223,0.010,0.0
367911.438208,0.010,0.0
367911.439217,0.010,0.0
367911.440166,0.010,0.0
367911.441224,0.010,0.0
367911.442189,0.010,0.0
367911.443223,0.010,0.0
367911.444213,0.010,0.0
367911.445223,0.010,0.0
367911.446211,0.010,0.0
367911.447246,0.010,0.0
367911.448212,0.010,0.0
367911.449224,0.010,0.0
367911.450212,0.010,0.0
367911.451182,0.010,0.0
367911.452212,0.010,0.0
367911.453223,0.010,0.0
367911.454213,0.010,0.0
367911.455223,0.010,0.0
367911.456213,0.010,0.0
367911.457224,0.010,0.0
367911.458213,0.010,0.0
367911.459223,0.010,0.0
367911.460212,0.010,0.0
367911.461223,0.010,0.0
367911.462213,0.010,0.0
367911.463245,0.010,0.0
